***************************************************************************
*
* Pick and place data for SMD on Bottom Layer
*
* Design name is: "transponderRC2_4-10"
*
* Date: 23 Nov 2018
*
* Data units = millimeters and Data are space separated
*
***************************************************************************
REFDES  X        Y        ROT      FOOTPRINT               VALUE                      
---------------------------------------------------------------------------
J3      1.500    10.000   270.000  R_USB-ZX62-AB-5PA_31_   ZX62-AB-5PA(31)            
C10     25.150   13.050   180.000  R_0603                  100nF                      
C11     30.200   15.550   90.000   R_0603                  100nF                      
C12     37.150   9.500    0.000    R_0603                  100nF                      
C17     31.600   15.550   90.000   R_0603                  100nF                      
C18     28.800   15.550   90.000   R_0603                  100nF                      
C7      41.700   11.000   0.000    R_0603                  100nF                      
C9      30.450   3.450    180.000  R_0603                  100nF                      
C13     37.150   8.100    0.000    R_0603                  4.7uF                      
C8      41.700   12.450   0.000    R_0603                  4.7uF                      
C15     9.700    6.550    270.000  R_0402                  1nF                        
C16     6.050    6.900    270.000  R_0402                  1nF                        
C19     3.350    15.800   180.000  R_0603                  4.7nF / 1kV                
C2      39.250   13.600   180.000  R_0402                  20pF                       
C5      39.300   11.050   180.000  R_0402                  20pF                       
C4      20.700   10.500   180.000  R_0402                  10uF/6V3                   
C6      17.750   7.150    90.000   R_0402                  10uF/6V3                   
D1      11.400   4.050    0.000    R_SOT23_123             BAT54C                     
D2      15.000   3.650    90.000   R_SOT23_123             BAT54C                     
D5      7.650    9.600    0.000    R_SOT143B               PRTR5V0U2X                 
FB1     37.350   6.700    0.000    R_0603                  470R@100MHz                
FB2     7.900    6.850    180.000  R_0603                  BLM18PG471SN1D             
R1      7.650    1.700    180.000  R_0402                  N.M.                       
R17     3.600    17.000   180.000  R_0402                  1M                         
R3      16.700   7.150    90.000   R_0402                  20k                        
SWCLK   33.350   16.400   0.000    R_1MM_TESTPOINT         SWCLK                      
SWDIO   34.950   15.850   0.000    R_1MM_TESTPOINT         SWDIO                      
RESET   25.400   16.200   0.000    R_1MM_TESTPOINT         RESET                      
U1      19.800   4.450    90.000   R_SOT23-5PIN            MCP73812                   
U4      30.450   9.750    0.000    R_QFN48_7X7MM           ATSAMD21G18A-48            
U7      14.800   17.000   0.000    R_PDSO-G8               SN74LVC2G86DCTR            
U6      13.150   10.000   90.000   R_PDSO-G8               SN74LVC2G86DCTR            
Y1      37.050   12.300   270.000  R_XTAL-ABS07            32.768kHz                  
C14     6.300    15.600   180.000  R_0402                  100nF / 10V                
D3      41.450   8.300    270.000  R_SOT23                 LM4040D30IDBZTG4           
R20     2.550    18.350   180.000  R_0603                  1k3                        
R13     3.600    2.300    0.000    R_0603                  1k3                        
C3      27.150   3.900    90.000   R_0402                  1uF/10V                    
C1      12.050   1.950    180.000  R_0402                  1uF/10V                    
R15     9.400    18.700   180.000  R_0402                  10k                        
R16     27.600   15.300   270.000  R_0402                  10k                        
R2      24.750   2.750    180.000  R_0402                  10k                        
R4      24.750   3.800    180.000  R_0402                  10k                        
R5      15.000   6.850    270.000  R_0402                  10k                        
R7      23.000   10.300   180.000  R_0402                  10k                        
R18     10.600   16.900   90.000   R_0402                  1k                         
R19     11.600   16.250   90.000   R_0402                  1k                         
R6      39.400   8.950    90.000   R_0402                  1k                         
R10     37.000   16.250   180.000  R_0402                  100k                       
R11     39.250   16.250   180.000  R_0402                  100k                       
R8      39.250   15.250   0.000    R_0402                  100k                       
R9      37.000   15.250   0.000    R_0402                  100k                       
Q3      7.850    16.750   180.000  R_SOT23                 RZR040P01                  
Q1      22.300   3.600    90.000   R_SOT23                 RZR040P01                  
Q2      23.500   7.700    270.000  R_SOT23                 NTR4003NT3G                
U2      6.400    3.100    270.000  R_SOT23-5PIN            REG102NA-5                 
U3      21.150   6.700    0.000    R_SOT23-5PIN            MIC5504-3.3                
