***************************************************************************
*
* Pick and place data for SMD on Bottom Layer
*
* Design name is: "transponderRC2_4-11"
*
* Date: 24 Jan 2019
*
* Data units = millimeters and Data are space separated
*
***************************************************************************
REFDES  X        Y        ROT      FOOTPRINT                VALUE                       
---------------------------------------------------------------------------
C22     -22.800  9.550    180.000  R_0805                   100uF/4V                    
C23     -3.500   7.050    90.000   R_0805                   100uF/4V                    
C4      -22.800  11.150   180.000  R_0805                   100uF/4V                    
U9      -41.000  15.750   90.000   R_LGA_8PIN_1_25X2        MS5611-01BA03               
C20     -18.400  2.950    90.000   R_0402                   100nF                       
R28     -34.500  12.300   0.000    R_0402                   68R                         
R30     -2.350   14.250   0.000    R_0402                   110k                        
R9      -6.500   14.250   0.000    R_0402                   430k                        
U3      -22.350  5.700    0.000    R_SOT23-5PIN             RT9078-33GJ5                
U6      -30.350  9.000    90.000   R_PDSO-G8                SN74LVC2G86DCUT             
U7      -25.800  14.750   0.000    R_PDSO-G8                SN74LVC2G86DCUT             
J3      -42.000  9.000    270.000  R_USB-ZX62-AB-5PA_31_    ZX62-AB-5PA(31)             
C10     -18.800  13.600   180.000  R_0603                   100nF                       
C11     -13.300  14.550   90.000   R_0603                   100nF                       
C12     -6.350   8.500    0.000    R_0603                   100nF                       
C17     -11.900  14.550   90.000   R_0603                   100nF                       
C18     -14.700  14.550   90.000   R_0603                   100nF                       
C9      -13.050  2.450    180.000  R_0603                   100nF                       
C13     -6.350   7.100    0.000    R_0603                   4.7uF                       
C15     -33.800  5.550    270.000  R_0402                   1nF                         
C16     -37.900  3.400    270.000  R_0402                   1nF                         
C19     -34.500  15.100   90.000   R_0603                   4.7nF / 1kV                 
C2      -4.250   12.600   180.000  R_0402                   20pF                        
C5      -4.200   10.050   180.000  R_0402                   20pF                        
C6      -21.000  6.150    90.000   R_0402                   10uF/6V3                    
D6      -35.850  2.200    270.000  R_SOT23_123              BAT54C                      
D7      -32.450  2.050    0.000    R_SOT23_123              BAT54C                      
D5      -34.900  8.600    0.000    R_SOT143B                PRTR5V0U2X                  
FB1     -6.150   5.700    0.000    R_0603                   470R@100MHz                 
FB2     -35.700  4.900    180.000  R_0603                   BLM18PG471SN1D              
R24     -27.850  6.850    90.000   R_0402                   1M                          
R23     -27.850  4.350    180.000  R_0402                   1M                          
R25     -27.850  5.350    0.000    R_0402                   1M                          
R17     -35.800  15.050   90.000   R_0402                   1M                          
R3      -30.350  4.000    180.000  R_0402                   20k                         
CLK     -10.150  15.400   0.000    R_1MM_TESTPOINT          SWCLK                       
DIO     -8.550   14.850   0.000    R_1MM_TESTPOINT          SWDIO                       
RESET   -17.300  15.850   0.000    R_1MM_TESTPOINT          RESET                       
U1      -27.400  2.950    90.000   R_SOT23-5PIN             MCP73812                    
U4      -13.050  8.750    0.000    R_QFN48_7X7MM            ATSAMD21G18A-48             
Y1      -6.450   11.300   270.000  R_XTAL-ABS07             32.768kHz                   
C21     -36.900  15.050   90.000   R_0402                   100nF / 10V                 
C14     -32.300  14.150   0.000    R_0402                   100nF / 10V                 
R13     -2.500   3.300    0.000    R_0603                   1k3                         
C3      -22.950  1.500    90.000   R_0402                   1uF/10V                     
C1      -37.900  1.500    90.000   R_0402                   1uF/10V                     
R27     -19.850  2.500    180.000  R_0402                   10k                         
R29     -21.350  2.950    270.000  R_0402                   10k                         
R31     -2.350   15.250   180.000  R_0402                   10k                         
R11     -4.250   15.250   180.000  R_0402                   10k                         
R15     -26.100  17.150   180.000  R_0402                   10k                         
R16     -15.900  14.300   270.000  R_0402                   10k                         
R26     -31.250  5.250    0.000    R_0402                   1k                          
R18     -28.950  15.950   270.000  R_0402                   1k                          
R19     -28.950  14.050   90.000   R_0402                   1k                          
R8      -4.250   14.250   0.000    R_0402                   100k                        
R22     -33.400  4.100    0.000    R_0402                   100k                        
R10     -6.500   15.250   180.000  R_0402                   100k                        
Q4      -25.000  2.150    270.000  R_SOT23                  RZR040P01                   
Q3      -31.800  16.200   180.000  R_SOT23                  RZR040P01                   
U2      -41.650  1.050    270.000  R_SOT23-5PIN             REG102NA-5                  
