***************************************************************************
*
* Pick and place data for SMD on Bottom Layer
*
* Design name is: "RC-TranponderV12"
*
* Date: 21 May 2019
*
* Data units = millimeters and Data are space separated
*
***************************************************************************
REFDES  X        Y        ROT      FOOTPRINT                     VALUE                      
---------------------------------------------------------------------------
C1      -31.950  2.300    180.000  R_0402                        1uF/10V                    
C27     -41.350  1.050    180.000  R_0402                        1uF/10V                    
C3      -22.950  1.500    90.000   R_0402                        1uF/10V                    
C13     -6.350   7.100    0.000    R_0603                        4.7uF                      
C19     -18.950  16.050   90.000   R_0603                        4.7nF / 100V               
C22     -24.450  9.600    180.000  R_0805                        100uF/4V                   
C23     -3.500   7.050    90.000   R_0805                        100uF/4V                   
C4      -24.450  11.400   180.000  R_0805                        100uF/4V                   
C24     -29.550  9.200    0.000    R_0402                        10uF/6V3                   
C6      -23.250  4.000    0.000    R_0402                        10uF/6V3                   
R10     -6.500   15.250   0.000    R_0402                        100k 0.1%                  
R13     -2.500   3.300    180.000  R_0603                        1k3                        
R17     -19.700  12.800   90.000   R_0402                        1M                         
R23     -30.700  8.150    0.000    R_0402                        1M                         
R18     -41.750  8.900    90.000   R_0402                        1k                         
R19     -41.750  7.000    270.000  R_0402                        1k                         
R32     -20.450  4.700    0.000    R_0402                        1k                         
R33     -37.250  14.800   0.000    R_0402                        1k                         
R34     -37.250  15.850   0.000    R_0402                        1k                         
R24     -22.350  6.150    270.000  R_0402                        510k                       
R28     -37.450  4.800    270.000  R_0402                        68R                        
R3      -28.800  3.950    180.000  R_0402                        20k                        
R9      -6.500   14.250   180.000  R_0402                        499k 0.1%                  
C10     -17.700  13.750   180.000  R_0402                        100nF                      
C11     -13.300  14.550   90.000   R_0402                        100nF                      
C12     -6.350   8.500    0.000    R_0402                        100nF                      
C14     -32.300  12.600   180.000  R_0402                        100nF                      
C17     -11.900  14.550   90.000   R_0402                        100nF                      
C18     -14.700  14.550   90.000   R_0402                        100nF                      
C20     -18.400  2.950    90.000   R_0402                        100nF                      
C25     -18.550  4.700    180.000  R_0402                        100nF                      
C9      -12.350  3.600    180.000  R_0402                        100nF                      
C26     -36.250  2.600    90.000   R_0402                        100nF                      
U2      -41.550  2.950    270.000  R_WDFN-6                      NCP718BMT500TBG            
J6      0.850    9.000    90.000   R_CONN_DF52-5S-0_8H           5x1_DF52_0.8mm connector   
D8      -31.650  16.050   270.000  R_SOT23                       BAT54S                     
D9      -34.700  16.050   270.000  R_SOT23                       BAT54S                     
Q5      -33.950  10.100   90.000   R_U-DFN2020-6                 DMP2065UFDB                
Q6      -33.900  7.200    0.000    R_SOT23                       FDV301N                    
Q8      -33.900  4.200    0.000    R_SOT23                       FDV301N                    
Q7      -33.950  1.450    90.000   R_U-DFN2020-6                 DMP2065UFDB                
R22     -30.700  3.950    0.000    R_0402                        100k                       
R30     -2.350   14.250   180.000  R_0402                        100k                       
R8      -4.250   14.250   180.000  R_0402                        100k                       
R36     -36.350  6.700    270.000  R_0402                        100k                       
R40     -37.800  1.000    90.000   R_0402                        100k                       
R41     -37.800  2.900    90.000   R_0402                        100k                       
R11     -4.250   15.250   0.000    R_0402                        10k                        
R15     -6.550   4.400    180.000  R_0402                        10k                        
R16     -15.900  14.300   270.000  R_0402                        10k                        
R27     -19.850  2.500    180.000  R_0402                        10k                        
R29     -21.350  2.950    90.000   R_0402                        10k                        
R31     -2.350   15.250   0.000    R_0402                        10k                        
R35     -15.750  4.050    0.000    R_0402                        10k                        
R37     -31.900  10.200   270.000  R_0402                        10k                        
R39     -31.950  1.250    0.000    R_0402                        10k                        
R38     -36.350  4.800    270.000  R_0402                        330R                       
U1      -27.950  2.600    90.000   R_SOT23-5PIN                  MCP73832T                  
U11     -18.800  7.950    90.000   R_SOT23-5PIN                  SN74LVC1G79                
U3      -23.750  5.550    0.000    R_SOT23-5PIN                  LDLN025M33R                
U7      -41.400  15.250   90.000   R_PDSO-G8                     SN74LVC2G86DCTR            
J3      -24.850  16.800   180.000  R_USB-ZX62-AB-5PA_31_         ZX62-AB-5PA(31)            
C15     -36.400  10.100   180.000  R_0402                        1nF                        
C16     -36.400  13.750   180.000  R_0402                        1nF                        
C2      -4.250   12.600   180.000  R_0402                        20pF                       
C5      -4.200   10.050   180.000  R_0402                        20pF                       
D7      -30.050  6.000    0.000    R_SOT23_123                   BAT54C                     
D5      -19.250  10.350   0.000    R_SOT143B                     PRTR5V0U2X                 
FB2     -36.200  11.950   90.000   R_0603                        470R@100MHz                
FB1     -6.150   5.700    0.000    R_0603                        470R@100MHz                
U4      -13.050  8.750    0.000    R_QFN48_7X7MM                 ATSAMD21G18A-48            
Y1      -6.450   11.300   270.000  R_XTAL-ABS07                  32.768kHz                  
Q4      -25.150  1.400    0.000    R_SOT23                       RZR040P01                  
Q3      -29.500  11.250   180.000  R_SOT23                       RZR040P01                  
